Thermal Diffusivity (mm²/s),Loss Modulus (Pa)
0,-1.170898644861941,0.83% Al2O3/PAA
2,-1.3337118659339873,0.83% Al2O3/PAA
15,-2.0438906134038515,0.83% Al2O3/PAA
16,-2.0467942331458002,0.83% Al2O3/PAA
19,-2.0519327175577824,0.83% Al2O3/PAA
0,-0.7391497618660238,0.94% Al2O3/PAA
2,-0.48119302268113207,0.94% Al2O3/PAA
15,2.3130599220310097,0.94% Al2O3/PAA
16,-0.41935678634809914,0.94% Al2O3/PAA
19,2.670363472320733,0.94% Al2O3/PAA
0,0.1260297703064679,0.46% Al2O3/PAA
2,-0.005504796143928514,0.46% Al2O3/PAA
15,-0.6644885780972902,0.46% Al2O3/PAA
16,-0.6915108276793769,0.46% Al2O3/PAA
19,-0.743119992680776,0.46% Al2O3/PAA
0,6.798373639286854,0.35% Al2O3/PAA
2,6.296612755687434,0.35% Al2O3/PAA
15,5.788740785848276,0.35% Al2O3/PAA
16,5.785578513960157,0.35% Al2O3/PAA
19,5.780261604255326,0.35% Al2O3/PAA
