Polymer Molecular Weight (g/mol),Dynamic Viscosity (Pa·s)
0,-3.6078897067945226,Montmorillonite/PBTP
1,-3.3196940304262816,Montmorillonite/PBTP
19,4.5124921401467795,Montmorillonite/PBTP
0,-2.4770198200292572,Colloidal silica/PBTP
1,-2.618779843932095,Colloidal silica/PBTP
19,-3.3457289797177436,Colloidal silica/PBTP
0,-5.339290847756544,Bentonite clay/PBTP
1,-5.488695937269652,Bentonite clay/PBTP
19,9.207213536306977,Bentonite clay/PBTP
0,-0.29003775254456365,CuPP/PBTP
1,-0.5552338216290027,CuPP/PBTP
19,28.94983402434537,CuPP/PBTP
