Ultrasound Time (min),Thermal Conductivity (W/(m·K))
0,3.731963439464801,0.9% Carbon black
6,2.7370974204794423,0.9% Carbon black
10,2.619621726670874,0.9% Carbon black
17,2.5789172494364268,0.9% Carbon black
19,2.5760207640826853,0.9% Carbon black
4,-2.776200318673233,0.78% Carbon black
8,-3.466151256246695,0.78% Carbon black
9,-2.1588988943985834,0.78% Carbon black
18,0.33859982150038626,0.78% Carbon black
19,-0.5334596445155064,0.78% Carbon black
1.9655687456800819,8.520580224531413,0.94% Carbon black
3.49155020552379,8.26492468120779,0.94% Carbon black
13.34909494885915,8.002112537152227,0.94% Carbon black
13.733435869908208,7.999893053308506,0.94% Carbon black
14.943919407331055,7.9955477802474455,0.94% Carbon black
