Thickness (µm),Zeta Potential (mV)
10,24.69959009658591,
11,46.132629368864066,
12,78.60411733807061,
16,11.374331277065487,
17,599.3132016279595,
18,212.71225369257064,
10,6.568421400704936,
11,6.558338987545227,
12,6.547673202463339,
16,6.527754176307305,
17,6.524737399691376,
18,6.52327515798029,
10,14.814952081354598,
11,54.10723008367847,
12,15.072715515493638,
16,244.68269500140084,
17,22.26276262559703,
18,317.847265529813,
10,27.760838158802294,
11,35.16203165466938,
12,73.80590928344532,
16,290.41460172844444,
17,165.69301345981685,
18,-38.07921358202112,
