Glass Transition Temperature (°C),Coercivity (A/m)
4.51800482633387,6.018006086607559,PBA
9.181079830018838,7.722110264004001,PBA
11.980443270391845,13.179497570044472,PBA
18.15352832462646,15.78880463044014,PBA
4.51800482633387,-6.014041025747513,PP
9.181079830018838,-3.4031300621600193,PP
11.980443270391845,-7.470952966199057,PP
18.15352832462646,2.5445482622547626,PP
4.51800482633387,-1.5830527330064343,P4VP
9.181079830018838,-1.7205662805169333,P4VP
11.980443270391845,-1.7626717708016257,P4VP
18.15352832462646,-1.7876765416119393,P4VP
4.51800482633387,3.4504822577675656,PA 6
9.181079830018838,3.933620654456938,PA 6
11.980443270391845,39.1623394149174,PA 6
18.15352832462646,242.9251703143795,PA 6
4.51800482633387,7.308102618629867,Poly(vinyl pyrrolidone)
9.181079830018838,7.031274953504613,Poly(vinyl pyrrolidone)
11.980443270391845,6.909609413118225,Poly(vinyl pyrrolidone)
18.15352832462646,6.794215002361591,Poly(vinyl pyrrolidone)
