Coefficient Of Thermal Expansion (1/K),Coercivity (A/m)
2.7508327665026444,-1.128690777162647,
13.174621960799037,-2.8732215610359546,
13.764243985222437,4.9588843263675075,
16.142916215526625,-7.7153547540994545,
18.093537697176135,-3.9644262839476347,
5.985937305014907,0.9150128479269769,
7.3849921893412525,0.8497353215834772,
10.699329931022586,0.7843335752541969,
17.24374812833981,0.7525967487063778,
18.653992397662243,0.7506283783386547,
3.591987182371559,-5.684606694109852,
10.39405873973374,-4.779340949039829,
12.586021765889658,-0.37219876199047697,
13.189686842820885,-1.6482060547059865,
18.541774085356973,-0.739965661529304,
0.8548051016677038,0.5399354161153495,
2.370640481125863,0.6170345245730661,
5.024025291650574,0.300806855242169,
9.126510583993504,0.15962167257056828,
14.556342131388885,0.10919792879417078,
1.7422477991728758,5.493263536185193,
9.887545744998816,5.0577589593177725,
16.466082174465253,4.848796094550625,
17.084940512030954,4.842258239808212,
19.63025231575805,4.799549401419853,
