Thermal Diffusivity (mm²/s),Toughness (MJ/m³)
6.678279388106681,7.44605283303167,Paraffin oil/Polybenzimidazole
12.725824361345456,14.723329272898049,Paraffin oil/Polybenzimidazole
18.611223297336206,150.2432329371827,Paraffin oil/Polybenzimidazole
18.725244603958483,483.44657895737447,Paraffin oil/Polybenzimidazole
6.678279388106681,3.219109086705952,Silicon dioxide/Polybenzimidazole
12.725824361345456,1.5047633948956212,Silicon dioxide/Polybenzimidazole
18.611223297336206,10.579454210536996,Silicon dioxide/Polybenzimidazole
18.725244603958483,9.72316881873849,Silicon dioxide/Polybenzimidazole
6.678279388106681,-3.7730030709762623,Poly(vinyl alcohol)/Polybenzimidazole
12.725824361345456,-1.3836223528458969,Poly(vinyl alcohol)/Polybenzimidazole
18.611223297336206,5.984524230125777,Poly(vinyl alcohol)/Polybenzimidazole
18.725244603958483,20.41365887420719,Poly(vinyl alcohol)/Polybenzimidazole
6.678279388106681,5.628630146337142,SWCNTs/Polybenzimidazole
12.725824361345456,5.740245472908164,SWCNTs/Polybenzimidazole
18.611223297336206,15.108110102913459,SWCNTs/Polybenzimidazole
18.725244603958483,13.883273159844743,SWCNTs/Polybenzimidazole
6.678279388106681,4.747885019198164,Buckminsterfullerene/Polybenzimidazole
12.725824361345456,9.177351032307788,Buckminsterfullerene/Polybenzimidazole
18.611223297336206,202.39780277395715,Buckminsterfullerene/Polybenzimidazole
18.725244603958483,921.4053305530527,Buckminsterfullerene/Polybenzimidazole
