Ion Beam Dose (Gy),Electrochemical Potential (V)
1.1044009955760448,4.346436114067652,Polyrotaxane
4.912237769319134,6.024315428126302,Polyrotaxane
6.6169965337426735,6.894146815541405,Polyrotaxane
12.255571871734606,11.702903258087188,Polyrotaxane
3.2868763799266865,6.37004853648658,PBD
3.5404411200518737,6.273551687040219,PBD
4.080303633413543,6.472942310981965,PBD
16.889683592846932,5.882516235564949,PBD
7.2550825451696,8.06393129619437,PA 8
13.993964556407024,8.13898218656419,PA 8
15.052385060284747,12.100614678684874,PA 8
15.427212682907046,11.064001614718881,PA 8
3,1.1898280741993248,Poly(ethylene-vinyl acetate)
6,8.29138455492813,Poly(ethylene-vinyl acetate)
10,24.418530090394455,Poly(ethylene-vinyl acetate)
19,279.6310610554506,Poly(ethylene-vinyl acetate)
