Heat Capacity (J/K),Crystallinity (%)
4.637406873425352,3.8248601311864703,expandable graphite/PAA
4.851833209764793,3.875705473756585,expandable graphite/PAA
5.122472779615901,3.6965349961645027,expandable graphite/PAA
6.77003952911395,3.7662582568022174,expandable graphite/PAA
8.137066923259844,3.722053322194962,expandable graphite/PAA
15.92534140870892,3.427115796311057,expandable graphite/PAA
3,7.7760669933309465,Mineral oil/PAA
6,7.639602454915711,Mineral oil/PAA
13,7.4879363033666335,Mineral oil/PAA
15,7.47924282056001,Mineral oil/PAA
17,7.474616702414585,Mineral oil/PAA
19,7.471654803289917,Mineral oil/PAA
0,6.207039630816137,HAF/PAA
3,5.735458980898215,HAF/PAA
4,5.651726838983969,HAF/PAA
5,5.538119678055202,HAF/PAA
16,5.302266267783837,HAF/PAA
18,5.29856711133559,HAF/PAA
