Stirring Speed (rpm),Glass Transition Temperature (°C)
0.44584458330713117,0.3051087978014845,Polyphenylsulfone
5.062391566571247,1.42768521917392,Polyphenylsulfone
6.489070423040122,1.177320171833874,Polyphenylsulfone
18.407425682265796,10.761148473615037,Polyphenylsulfone
0.44584458330713117,1.1061865355444798,Poly(methyl methacrylate)
5.062391566571247,0.7379240311375935,Poly(methyl methacrylate)
6.489070423040122,3.571479717580999,Poly(methyl methacrylate)
18.407425682265796,7.830424715419919,Poly(methyl methacrylate)
0.44584458330713117,-4.84056041849602,TGPAP
5.062391566571247,-5.575683820595182,TGPAP
6.489070423040122,-5.666408602813464,TGPAP
18.407425682265796,-5.824325045641983,TGPAP
0.44584458330713117,3.348643699714068,Poly-trifluoroethylene
5.062391566571247,10.005608948146381,Poly-trifluoroethylene
6.489070423040122,6.279416302358162,Poly-trifluoroethylene
18.407425682265796,658.3850773112591,Poly-trifluoroethylene
0.44584458330713117,-3.5787013528184755,Poly(butylene)
5.062391566571247,-2.990262142090303,Poly(butylene)
6.489070423040122,2.618533926940268,Poly(butylene)
18.407425682265796,32.98922113518934,Poly(butylene)
