Electron Beam Dose (Gy),Impact Strength (kJ/m²)
6.885197608016666,5.097063975386774,Triphenyl phosphate/PVC-P
7.579225094861945,5.000211330601407,Triphenyl phosphate/PVC-P
7.847211337348745,4.9646800351434015,Triphenyl phosphate/PVC-P
10.011871804877469,4.943533834544945,Triphenyl phosphate/PVC-P
10.382040017400506,4.896062405854565,Triphenyl phosphate/PVC-P
16.711211497649092,4.717907976784145,Triphenyl phosphate/PVC-P
3,-0.07949681801300057,Graphite oxide/PVC-P
5,-0.2988333807826888,Graphite oxide/PVC-P
11,-0.4733639551232829,Graphite oxide/PVC-P
13,-0.4897207755427082,Graphite oxide/PVC-P
14,-0.4944238317538364,Graphite oxide/PVC-P
16,-0.501203264453121,Graphite oxide/PVC-P
0,-2.350927849091733,multi-walled CNT/PVC-P
1,-2.3961275342597714,multi-walled CNT/PVC-P
3,-2.667033906936915,multi-walled CNT/PVC-P
5,-2.7830972893585773,multi-walled CNT/PVC-P
12,-3.004742743692768,multi-walled CNT/PVC-P
14,-3.020778524344893,multi-walled CNT/PVC-P
4.382618167623036,-1.5810977588480406,SWCNT/PVC-P
8.309575553386049,1.5335300186936136,SWCNT/PVC-P
8.617119889578058,0.5642743286418295,SWCNT/PVC-P
8.96297538146455,1.9688547821841569,SWCNT/PVC-P
13.762298905682798,-2.225024250495238,SWCNT/PVC-P
14.736755215649037,4.267362002615213,SWCNT/PVC-P
