Strain,Permittivity
0,4.682793923911204,
5,4.558362936120956,
6,5.921135127968276,
8,5.412713670413947,
11,6.390845748043998,
15,7.16515696354467,
0,-1.5896331115350577,
5,2.3353038227850194,
6,3.4009440734590513,
8,15.28255920883945,
11,47.333904814797414,
15,172.04535637024637,
0,4.935984300126902,
5,4.438649735552672,
6,4.492134336596597,
8,4.351533401042778,
11,4.226203869455483,
15,4.146508874539889,
0,-5.052222457110499,
5,-3.6289500842632583,
6,-4.214189302353894,
8,-2.9362092413830205,
11,-2.291425379583009,
15,-0.07689694734731045,
0,-1.9586389128833923,
5,-2.2048113418931137,
6,-2.3275404640979,
8,-2.390631368017566,
11,-2.4365343360754617,
15,-2.597807533605302,
