Ultrasound Time (min),Intrinsic Viscosity (dl/g)
0,1.6715584390269602,
1,2.0302025379604354,
12,68.68162987390056,
16,188.42795524921596,
19,-385.7284316041296,
5,2.1857159131233574,
8,4.176297788158022,
11,47.52035633483868,
18,372.32438879356573,
19,425.9932498148511,
4.2368125251629785,6.414740349234144,
5.76289733799765,6.317626129600469,
8.182943229315022,6.189709330014287,
14.015774563459232,6.1196454438455135,
17.09629669963424,6.109532027835764,
2,2.7679987188108583,
4,2.6938813474525793,
11,2.352727315744165,
14,2.3290284363688514,
18,2.317401196357467,
