Nanoparticle Volume (%),Zero-shear Viscosity (Pa·s)
0.33503364023120596,0.7450873889259497,Na2TiO3/P4VP
6.873568041372778,8.39125775251146,Na2TiO3/P4VP
7.024759632578892,5.41993303200042,Na2TiO3/P4VP
12.565500411024413,54.301985940987976,Na2TiO3/P4VP
15.377919832925642,-33.95961791590041,Na2TiO3/P4VP
16.941094062255463,193.7494679819366,Na2TiO3/P4VP
0.33503364023120596,5.237012996057247,Barium strontium titanate/P4VP
6.873568041372778,4.605484269539428,Barium strontium titanate/P4VP
7.024759632578892,4.579772703112164,Barium strontium titanate/P4VP
12.565500411024413,4.479835626775207,Barium strontium titanate/P4VP
15.377919832925642,4.465145312882824,Barium strontium titanate/P4VP
16.941094062255463,4.461662602520325,Barium strontium titanate/P4VP
0.33503364023120596,8.44193049290607,OMMT/P4VP
6.873568041372778,7.808827486405843,OMMT/P4VP
7.024759632578892,8.853126910640063,OMMT/P4VP
12.565500411024413,7.999069530907022,OMMT/P4VP
15.377919832925642,17.575527956646326,OMMT/P4VP
16.941094062255463,5.546387506093949,OMMT/P4VP
