Aspect Ratio,Kinematic Viscosity (mm²/s)
2,7.972997657125379,Zirconium dioxide/Poly(acrylic acid)
7,7.533955244475783,Zirconium dioxide/Poly(acrylic acid)
14,7.412125625376487,Zirconium dioxide/Poly(acrylic acid)
15,7.408124054700793,Zirconium dioxide/Poly(acrylic acid)
2,2.8723566710053516,fumed silica/Poly(acrylic acid)
7,2.4932487609262894,fumed silica/Poly(acrylic acid)
14,2.3725161082719213,fumed silica/Poly(acrylic acid)
15,2.367481334354215,fumed silica/Poly(acrylic acid)
2,-5.494073734920524,SWNTs/Poly(acrylic acid)
7,-5.735188007680263,SWNTs/Poly(acrylic acid)
14,-5.864755942609445,SWNTs/Poly(acrylic acid)
15,-5.868216133989211,SWNTs/Poly(acrylic acid)
2,0.8477441509560528,MoS2/Poly(acrylic acid)
7,0.44507293990542524,MoS2/Poly(acrylic acid)
14,0.1911874484575253,MoS2/Poly(acrylic acid)
15,0.1520916072091936,MoS2/Poly(acrylic acid)
2,4.325347298558375,Alumina/Poly(acrylic acid)
7,4.444085125129806,Alumina/Poly(acrylic acid)
14,7.934888272924248,Alumina/Poly(acrylic acid)
15,7.71195482048264,Alumina/Poly(acrylic acid)
