Storage Time (days),Magnetoresistance
0,-5.537709431848027,0.65% OAP-POSS
2,-4.379173395111872,0.65% OAP-POSS
12,-12.507922524838495,0.65% OAP-POSS
13,75.21028870136422,0.65% OAP-POSS
19,10.39682514635572,0.65% OAP-POSS
0,-4.961556328775508,0.69% OAP-POSS
2,-5.360736312697416,0.69% OAP-POSS
12,-5.802206276561257,0.69% OAP-POSS
13,-5.805282794684306,0.69% OAP-POSS
19,-5.82401141319929,0.69% OAP-POSS
0,1.2179343431362146,0.71% OAP-POSS
2,0.7182675907726426,0.71% OAP-POSS
12,0.1807577156194733,0.71% OAP-POSS
13,0.1744441048129281,0.71% OAP-POSS
19,0.15714160540459735,0.71% OAP-POSS
0,8.01100600881804,0.6% OAP-POSS
2,7.840187091876724,0.6% OAP-POSS
12,7.338774892216365,0.6% OAP-POSS
13,7.336919494977624,0.6% OAP-POSS
19,7.3181927791452885,0.6% OAP-POSS
0,6.097482585001019,0.07% OAP-POSS
2,7.016500208313195,0.07% OAP-POSS
12,10.985565238219325,0.07% OAP-POSS
13,9.899659877254603,0.07% OAP-POSS
19,24.65758307072806,0.07% OAP-POSS
