Elongation At Break (%),Tan Delta
9.11149796444845,15.443304334204127,
11.181279769289603,45.248599642477984,
18.579183933619813,506.3992135869837,
19.301139996979387,-340.8746527215577,
19.511754391037382,-364.4238918209875,
0,-4.193775655452809,
2,-4.273309847816838,
13,-4.883946728703881,
17,-4.98747565153939,
18,-5.003512790041917,
1.136906976705272,7.215762006619152,
6.149068642497095,10.301006004093965,
9.584345848102984,11.241648793398976,
9.886083786837636,21.17204870114451,
14.80990325075279,152.3621043361764,
6.565718470104951,-6.655222822598749,
7.082057616712653,-6.661749884601249,
10.456437686415935,-6.744270171892619,
15.876300142328581,-6.778948963537072,
18.35688746095873,-6.782946832103915,
