pH,Oxidation Potential (V)
0,9.07491420574475,Lead(II) sulfide/Polybutylene succinate
2,8.53095446722172,Lead(II) sulfide/Polybutylene succinate
4,9.516082644644836,Lead(II) sulfide/Polybutylene succinate
17,7.937513036325289,Lead(II) sulfide/Polybutylene succinate
18,14.802999782788568,Lead(II) sulfide/Polybutylene succinate
19,13.619651239611688,Lead(II) sulfide/Polybutylene succinate
2.01982044503223,1.8959104080597238,OMLS/Polybutylene succinate
4.235648943042394,3.862931174954945,OMLS/Polybutylene succinate
13.60279513043867,66.39329482636157,OMLS/Polybutylene succinate
15.33605237844992,44.60958195254527,OMLS/Polybutylene succinate
15.44645762770758,308.6281422311697,OMLS/Polybutylene succinate
15.706172843564124,100.83175414762984,OMLS/Polybutylene succinate
1.340885848032174,5.764241955781254,carbon black/Polybutylene succinate
3.941278550348979,5.51712278982064,carbon black/Polybutylene succinate
4.456010235584815,5.50319607201521,carbon black/Polybutylene succinate
9.126027416343561,5.203017022935916,carbon black/Polybutylene succinate
12.684610572717403,5.0969541395727385,carbon black/Polybutylene succinate
14.383031084468708,5.033301889827038,carbon black/Polybutylene succinate
1.8690587220411459,3.3658386676319307,carbon nanotube/Polybutylene succinate
7.0691160327574725,2.864410859630655,carbon nanotube/Polybutylene succinate
7.759186795223347,2.817177960563081,carbon nanotube/Polybutylene succinate
14.734452299203406,2.7334796231658247,carbon nanotube/Polybutylene succinate
17.397803298865206,2.7266001887456905,carbon nanotube/Polybutylene succinate
18.35443038686975,2.7252910246007063,carbon nanotube/Polybutylene succinate
2,-5.205740327310107,Synthetic fluorine mica/Polybutylene succinate
5,-5.560345439644643,Synthetic fluorine mica/Polybutylene succinate
6,-5.6108188054165264,Synthetic fluorine mica/Polybutylene succinate
9,-5.708011502015586,Synthetic fluorine mica/Polybutylene succinate
11,-5.7313981544112425,Synthetic fluorine mica/Polybutylene succinate
17,-5.763869203019115,Synthetic fluorine mica/Polybutylene succinate
