Stirring Speed (rpm),Particle Size Distribution
3.4058551827669437,-3.6121942927472315,0.08% multi-walled carbon nanotube
4.841314879844827,-3.1754585804407176,0.08% multi-walled carbon nanotube
13.7749679663029,-1.8610491309123618,0.08% multi-walled carbon nanotube
16.22477182285455,-4.085740166183386,0.08% multi-walled carbon nanotube
19.01542705277364,-9.626210272724112,0.08% multi-walled carbon nanotube
3.4058551827669437,4.610834669910595,0.06% multi-walled carbon nanotube
4.841314879844827,4.548444983243311,0.06% multi-walled carbon nanotube
13.7749679663029,4.083622635845981,0.06% multi-walled carbon nanotube
16.22477182285455,4.025327708875721,0.06% multi-walled carbon nanotube
19.01542705277364,3.9753467496953827,0.06% multi-walled carbon nanotube
