Exposure Time (h),X-ray Diffraction Intensity
6,5.205646542994888,TiNTs/Polybenzimidazole
8,5.182724559426243,TiNTs/Polybenzimidazole
13,5.098393763141868,TiNTs/Polybenzimidazole
17,5.0858154270475735,TiNTs/Polybenzimidazole
6,-5.6199668792775075,FeO/Polybenzimidazole
8,-5.805561424583064,FeO/Polybenzimidazole
13,-5.964569929961715,FeO/Polybenzimidazole
17,-6.049184020840016,FeO/Polybenzimidazole
6,6.845464600102491,ZrO2/Polybenzimidazole
8,6.809126825963793,ZrO2/Polybenzimidazole
13,6.727963039043111,ZrO2/Polybenzimidazole
17,6.714018043482029,ZrO2/Polybenzimidazole
