Light Intensity (W/m²),Fracture Toughness (MPa·m^0.5)
3.6688901798505413,1.7355180147711342,AuNPs/P(VDF-CTFE)
6.51139383747995,1.4456008259796018,AuNPs/P(VDF-CTFE)
11.818651343885726,1.2290468104479544,AuNPs/P(VDF-CTFE)
14.936641434828635,1.0915768681547038,AuNPs/P(VDF-CTFE)
16.368829295734862,1.0972057800079338,AuNPs/P(VDF-CTFE)
3.6688901798505413,8.498522864629232,Colloidal silica/P(VDF-CTFE)
6.51139383747995,8.380986522780644,Colloidal silica/P(VDF-CTFE)
11.818651343885726,8.160549870208282,Colloidal silica/P(VDF-CTFE)
14.936641434828635,8.072169318444423,Colloidal silica/P(VDF-CTFE)
16.368829295734862,8.05110011647438,Colloidal silica/P(VDF-CTFE)
3.6688901798505413,-6.3104713523389995,carbon nanotube/P(VDF-CTFE)
6.51139383747995,-6.569262393663043,carbon nanotube/P(VDF-CTFE)
11.818651343885726,-6.66106543408955,carbon nanotube/P(VDF-CTFE)
14.936641434828635,-6.681728883864788,carbon nanotube/P(VDF-CTFE)
16.368829295734862,-6.685544011090531,carbon nanotube/P(VDF-CTFE)
3.6688901798505413,-7.166765555146134,silver hexafluoroantimonate/P(VDF-CTFE)
6.51139383747995,-7.4078652879376286,silver hexafluoroantimonate/P(VDF-CTFE)
11.818651343885726,-7.5116528063188515,silver hexafluoroantimonate/P(VDF-CTFE)
14.936641434828635,-7.528605134600841,silver hexafluoroantimonate/P(VDF-CTFE)
16.368829295734862,-7.531835203868304,silver hexafluoroantimonate/P(VDF-CTFE)
3.6688901798505413,5.020433168692794,Sodium titanate nanotubes/P(VDF-CTFE)
6.51139383747995,4.970328422674363,Sodium titanate nanotubes/P(VDF-CTFE)
11.818651343885726,6.692897644234382,Sodium titanate nanotubes/P(VDF-CTFE)
14.936641434828635,2.8818641867189676,Sodium titanate nanotubes/P(VDF-CTFE)
16.368829295734862,10.297483796199089,Sodium titanate nanotubes/P(VDF-CTFE)
