Dielectric Constant,Permittivity
2.1148517422098467,8.486339193480443,0.17% Silica/Acrylonitrile butadiene styrene
2.283346506167565,8.296373003569498,0.17% Silica/Acrylonitrile butadiene styrene
6.189714588431681,8.307300973699283,0.17% Silica/Acrylonitrile butadiene styrene
18.853201455108767,7.784091720228822,0.17% Silica/Acrylonitrile butadiene styrene
0.5201545469312419,7.921387887062214,0.37% Silica/Acrylonitrile butadiene styrene
11.481592846231345,27.358550490984577,0.37% Silica/Acrylonitrile butadiene styrene
17.368758665058596,223.75062687627607,0.37% Silica/Acrylonitrile butadiene styrene
17.55360527308507,340.3448265999221,0.37% Silica/Acrylonitrile butadiene styrene
2.916057215067538,-4.5888764288627275,0.55% Silica/Acrylonitrile butadiene styrene
5.16694188713692,-4.653660587543824,0.55% Silica/Acrylonitrile butadiene styrene
8.870847050567779,-3.491993751797538,0.55% Silica/Acrylonitrile butadiene styrene
16.047614719600322,-4.113092759305287,0.55% Silica/Acrylonitrile butadiene styrene
