Thermal Conductivity (W/(m·K)),Heat Capacity (J/K)
0.16464739367584302,-1.1141993244859663,0.55% nanosilica/Nylon 6T
16.631435378679285,-1.6892041899108179,0.55% nanosilica/Nylon 6T
17.248511559476853,-1.6900900522056885,0.55% nanosilica/Nylon 6T
0.16464739367584302,-2.5333967680599834,0.36% nanosilica/Nylon 6T
16.631435378679285,359.0851879610471,0.36% nanosilica/Nylon 6T
17.248511559476853,580.345907143086,0.36% nanosilica/Nylon 6T
0.16464739367584302,9.073089270325248,0.2% nanosilica/Nylon 6T
16.631435378679285,63.13963049915936,0.2% nanosilica/Nylon 6T
17.248511559476853,484.98577154923623,0.2% nanosilica/Nylon 6T
0.16464739367584302,-4.1412048560602805,0.96% nanosilica/Nylon 6T
16.631435378679285,-0.8929260628128288,0.96% nanosilica/Nylon 6T
17.248511559476853,-10.254650760604921,0.96% nanosilica/Nylon 6T
