Glass Transition Temperature (°C),Shear Modulus (GPa)
9.00668986047447,4.932547925575421,Ba0.7Sr0.3TiO3/Nylon 66
13.766204409786276,4.871669744091472,Ba0.7Sr0.3TiO3/Nylon 66
17.09627975115614,4.860265047034627,Ba0.7Sr0.3TiO3/Nylon 66
17.431669632410525,4.859692428601258,Ba0.7Sr0.3TiO3/Nylon 66
9.00668986047447,-3.867550259918082,Al2O3/Nylon 66
13.766204409786276,1.3093690649051926,Al2O3/Nylon 66
17.09627975115614,5.807559709997914,Al2O3/Nylon 66
17.431669632410525,-0.21372602324961676,Al2O3/Nylon 66
9.00668986047447,6.353152938573784,Au/Nylon 66
13.766204409786276,6.30002164256898,Au/Nylon 66
17.09627975115614,6.289914451678284,Au/Nylon 66
17.431669632410525,6.289309108334888,Au/Nylon 66
