Holding Time (min),Specific Heat (J/(g·K))
0,6.823341503823462,P(VDF-TrFE-CTFE)
9,12.717442664261403,P(VDF-TrFE-CTFE)
13,95.04517064189359,P(VDF-TrFE-CTFE)
16,218.1764315531876,P(VDF-TrFE-CTFE)
0,1.6080898291216112,SAN
9,34.32686609551586,SAN
13,47.198469554289346,SAN
16,92.92201370430877,SAN
0,-2.88495657666218,PBA-a
9,-4.178408564610957,PBA-a
13,-4.224082379452182,PBA-a
16,-4.237532126690016,PBA-a
0,5.207107446089462,PBI
9,4.184191557598087,PBI
13,4.136127357926889,PBI
16,4.1248510470176205,PBI
0,-0.3228609453006164,Poly(styrene-co-acrylonitrile)
9,2.208617186248485,Poly(styrene-co-acrylonitrile)
13,-0.6636134140743835,Poly(styrene-co-acrylonitrile)
16,7.655462353137731,Poly(styrene-co-acrylonitrile)
