UV Exposure Time (h),Saturation Magnetization (A/m)
3,-5.523789029623268,
6,-1.541887011305275,
13,-17.631121157692093,
17,198.79004482114308,
7.46063371061388,-5.182652684260843,
7.599670867665791,-4.844554830406292,
13.794942153225804,-1.2724645988699042,
19.60185986130088,14.204191583273916,
1,-3.832477592920643,
2,-3.667197908341583,
5,-3.3311274207677246,
17,-9.15370314896912,
0.6973216378669345,4.441493542025389,
7.358986792331077,3.688484596045022,
9.71973857200217,3.6246710867122043,
13.512060413043995,3.5834703467200457,
