Young’s Modulus (GPa),Charge Transfer Resistance (Ω·m²)
2,4.816873374821196,0.93% OMMT
4,4.588859856913818,0.93% OMMT
9,4.3725842597797975,0.93% OMMT
10,4.353818769139471,0.93% OMMT
13,4.320064771557264,0.93% OMMT
17,4.306881322929005,0.93% OMMT
2,-1.763144854799637,0.93% OMMT
4,-2.1141886744900646,0.93% OMMT
9,-2.2574777988031935,0.93% OMMT
10,-2.2696109658509775,0.93% OMMT
13,-2.351263844917387,0.93% OMMT
17,-2.4560073993185596,0.93% OMMT
2,5.724207328191767,0.93% OMMT
4,6.258571743455441,0.93% OMMT
9,7.481164237746745,0.93% OMMT
10,8.30672651885466,0.93% OMMT
13,7.145937917714619,0.93% OMMT
17,9.019169817809956,0.93% OMMT
2,-3.341526525667101,0.44% OMMT
4,-3.5900611427453675,0.44% OMMT
9,-3.8386519710446674,0.44% OMMT
10,-3.8530016640421074,0.44% OMMT
13,-3.9463566853686234,0.44% OMMT
17,-4.0398911970199425,0.44% OMMT
