Drying Time (h),Young’s Modulus (GPa)
1.5084933944204226,-0.782034291640699,Graphene/Poly(styrene-b-butadiene)
11.296194495733612,46.9571156162455,Graphene/Poly(styrene-b-butadiene)
14.092697745274876,179.6699832570429,Graphene/Poly(styrene-b-butadiene)
1.5084933944204226,2.2393555267911522,Copper(II) phenyl phosphate/Poly(styrene-b-butadiene)
11.296194495733612,1.6548468686693592,Copper(II) phenyl phosphate/Poly(styrene-b-butadiene)
14.092697745274876,1.5956420676795902,Copper(II) phenyl phosphate/Poly(styrene-b-butadiene)
1.5084933944204226,-3.404485866686723,MoS2/Poly(styrene-b-butadiene)
11.296194495733612,1.618538291890685,MoS2/Poly(styrene-b-butadiene)
14.092697745274876,-2.6251987738497466,MoS2/Poly(styrene-b-butadiene)
1.5084933944204226,-6.841470269767891,Paraffin oil/Poly(styrene-b-butadiene)
11.296194495733612,-7.287573292367843,Paraffin oil/Poly(styrene-b-butadiene)
14.092697745274876,-7.368299073292401,Paraffin oil/Poly(styrene-b-butadiene)
