Shear Rate (1/s),Thermal Diffusivity (mm²/s)
6.698035345190771,-6.890071202206905,Poly(vinyl alcohol)/TPU
8.255120774004547,-6.935690147487624,Poly(vinyl alcohol)/TPU
9.096188760836466,-6.97669207241435,Poly(vinyl alcohol)/TPU
6.698035345190771,-1.1799494951473362,multi-walled CNTs/TPU
8.255120774004547,-1.248111017824549,multi-walled CNTs/TPU
9.096188760836466,-1.2956640368269263,multi-walled CNTs/TPU
6.698035345190771,7.653412775268278,Carbon black/TPU
8.255120774004547,7.616153387729084,Carbon black/TPU
9.096188760836466,7.589047953610586,Carbon black/TPU
6.698035345190771,13.739487761831308,multi-wall carbon nanotubes/TPU
8.255120774004547,26.07243682351976,multi-wall carbon nanotubes/TPU
9.096188760836466,31.72643387648509,multi-wall carbon nanotubes/TPU
