Crosslinking Density (mol/m³),Magnetic Susceptibility
3.2722770299205473,2.0994591952891546,SiC powder/Thermoplastic polyurethane
3.298826685098417,1.7418304873414658,SiC powder/Thermoplastic polyurethane
5.499085169232787,2.664070769283782,SiC powder/Thermoplastic polyurethane
13.640549818880709,5.020777294764538,SiC powder/Thermoplastic polyurethane
19.696699972197862,6.75257777715817,SiC powder/Thermoplastic polyurethane
3.2722770299205473,-1.4099053948973848,Cloisite/Thermoplastic polyurethane
3.298826685098417,-1.4298291866422814,Cloisite/Thermoplastic polyurethane
5.499085169232787,-1.6220002202984365,Cloisite/Thermoplastic polyurethane
13.640549818880709,-1.7805894001993727,Cloisite/Thermoplastic polyurethane
19.696699972197862,-1.7943104633522593,Cloisite/Thermoplastic polyurethane
