Softening Temperature (°C),Heat Of Crystallization (J/g)
0.13889414877224837,2.5530326440676214,PVC-P
10.530266328038525,1.9598113655522926,PVC-P
11.769906910833702,1.950894469481102,PVC-P
14.500699297660555,1.9306428990722824,PVC-P
16.42478460967727,1.926380342997292,PVC-P
0.13889414877224837,7.216550961591797,Nylon 6(3)T
10.530266328038525,21.80807901737544,Nylon 6(3)T
11.769906910833702,40.775257117375176,Nylon 6(3)T
14.500699297660555,61.170063749834206,Nylon 6(3)T
16.42478460967727,273.1609977727026,Nylon 6(3)T
0.13889414877224837,8.475187506884778,PA63T
10.530266328038525,7.622749427417937,PA63T
11.769906910833702,7.6070442310154345,PA63T
14.500699297660555,7.591849475188005,PA63T
16.42478460967727,7.5864168542687755,PA63T
0.13889414877224837,3.153552849954191,Polyurethane
10.530266328038525,2.2488473190399576,Polyurethane
11.769906910833702,2.26891351218399,Polyurethane
14.500699297660555,2.195169097835101,Polyurethane
16.42478460967727,2.1465159458472125,Polyurethane
0.13889414877224837,7.9049452743541275,Silicone rubber
10.530266328038525,10.051625342625828,Silicone rubber
11.769906910833702,14.870999642014484,Silicone rubber
14.500699297660555,7.835595152974932,Silicone rubber
16.42478460967727,9.952494575169537,Silicone rubber
