Particle Density,Particle Size (nm)
1.983416140679366,-7.036801518434503,Poly(styrene-co-acrylonitrile)
13.635631535211754,-7.640500340490401,Poly(styrene-co-acrylonitrile)
19.43917473635835,-7.735641720809671,Poly(styrene-co-acrylonitrile)
19.84539188574454,-7.745351461406805,Poly(styrene-co-acrylonitrile)
1.983416140679366,-3.7446023934749553,Polyphenylsulfone
13.635631535211754,-5.9497733192023645,Polyphenylsulfone
19.43917473635835,10.505602212976108,Polyphenylsulfone
19.84539188574454,-18.3074880326513,Polyphenylsulfone
1.983416140679366,-4.900557662156468,EVA
13.635631535211754,-5.436637425692493,EVA
19.43917473635835,-5.450554946157075,EVA
19.84539188574454,-5.4511111183562555,EVA
