Pore Size (nm),Electronic Conductivity (S/m)
3.3159768651118138,8.848778834857075,0.22% CaCu3Ti4O12/PVDF
8.286971857627181,19.651820239503692,0.22% CaCu3Ti4O12/PVDF
19.07090923260064,-45.94210850347266,0.22% CaCu3Ti4O12/PVDF
3.3159768651118138,7.569777436726455,0.22% CaCu3Ti4O12/PVDF
8.286971857627181,6.024403858344423,0.22% CaCu3Ti4O12/PVDF
19.07090923260064,213.08956286289904,0.22% CaCu3Ti4O12/PVDF
3.3159768651118138,-0.16396385006480108,0.38% CaCu3Ti4O12/PVDF
8.286971857627181,-0.40666361220771996,0.38% CaCu3Ti4O12/PVDF
19.07090923260064,-0.495183546454931,0.38% CaCu3Ti4O12/PVDF
3.3159768651118138,5.472121475373361,0.9% CaCu3Ti4O12/PVDF
8.286971857627181,5.253206061708847,0.9% CaCu3Ti4O12/PVDF
19.07090923260064,5.164851046219183,0.9% CaCu3Ti4O12/PVDF
