Heat Treatment Temperature (°C),Compressive Modulus (GPa)
4.8202428892846605,3.0681424301283386,
5.695718997747381,2.9649023816636326,
9.807638973552004,2.85146709515029,
11.81959540183672,2.8239923811632135,
13.537170524676501,2.81285443712419,
19.538074315713686,2.799355746260139,
5.539433380558759,-7.320976807511441,
7.317933122594402,-7.4636222825506335,
13.49995236856552,-7.5365788034341135,
13.958959010800365,-7.53721864801909,
14.766847871946528,-7.540702770188257,
15.149729129672435,-7.542881035093801,
1.283120895676595,5.806889189820556,
7.148755619079841,5.251839564002244,
7.33772283708376,5.261700162431704,
13.122159848081779,5.033326884476765,
18.120332286941117,4.909756441884276,
18.66562530774706,4.90519412508021,
2.7097276331773346,2.025736806445996,
4.138373628625662,4.745372992981242,
8.247431945420608,10.181732595239922,
12.800090121105459,88.12843542334612,
15.467436665834365,239.00848372887677,
15.670473433994701,257.5298150944939,
