Surfactant Concentration (M),X-ray Diffraction Intensity
2.1796837411525183,2.537586940529157,0.99% PAN/Poly(2-hydroxyethyl methacrylate)
5.350616336788779,2.3507537038708186,0.99% PAN/Poly(2-hydroxyethyl methacrylate)
8.920407971026293,3.5017017333228777,0.99% PAN/Poly(2-hydroxyethyl methacrylate)
10.43201465900215,1.946947448790207,0.99% PAN/Poly(2-hydroxyethyl methacrylate)
15.42832594287858,3.9318246136589488,0.99% PAN/Poly(2-hydroxyethyl methacrylate)
2.1796837411525183,-1.1596083597561195,0.73% PAN/Poly(2-hydroxyethyl methacrylate)
5.350616336788779,3.1340718614306233,0.73% PAN/Poly(2-hydroxyethyl methacrylate)
8.920407971026293,14.295129480217485,0.73% PAN/Poly(2-hydroxyethyl methacrylate)
10.43201465900215,21.42892145211541,0.73% PAN/Poly(2-hydroxyethyl methacrylate)
15.42832594287858,45.37084832419409,0.73% PAN/Poly(2-hydroxyethyl methacrylate)
2.1796837411525183,-3.553321978535616,0.19% PAN/Poly(2-hydroxyethyl methacrylate)
5.350616336788779,-3.7050718259440982,0.19% PAN/Poly(2-hydroxyethyl methacrylate)
8.920407971026293,-2.612842355481867,0.19% PAN/Poly(2-hydroxyethyl methacrylate)
10.43201465900215,-3.3547240207087707,0.19% PAN/Poly(2-hydroxyethyl methacrylate)
15.42832594287858,-2.6648474279357486,0.19% PAN/Poly(2-hydroxyethyl methacrylate)
2.1796837411525183,-1.0106992223914233,0.09% PAN/Poly(2-hydroxyethyl methacrylate)
5.350616336788779,-1.222910763163845,0.09% PAN/Poly(2-hydroxyethyl methacrylate)
8.920407971026293,-1.4146440244862095,0.09% PAN/Poly(2-hydroxyethyl methacrylate)
10.43201465900215,-1.447241701579246,0.09% PAN/Poly(2-hydroxyethyl methacrylate)
15.42832594287858,-1.599446149969471,0.09% PAN/Poly(2-hydroxyethyl methacrylate)
