Curing Temperature (°C),Electrical Conductivity (S/m)
10,6.4873615647708345,0.29% Mineral oil/PVA
15,10.385374216776784,0.29% Mineral oil/PVA
18,15.253758269073412,0.29% Mineral oil/PVA
10,4.937265298663122,0.64% Mineral oil/PVA
15,4.813777989129039,0.64% Mineral oil/PVA
18,4.750544818152273,0.64% Mineral oil/PVA
10,-5.949260212110833,0.94% Mineral oil/PVA
15,-6.1218915779008345,0.94% Mineral oil/PVA
18,-6.189144463555002,0.94% Mineral oil/PVA
10,-1.4266852610386493,0.17% Mineral oil/PVA
15,59.97422385492919,0.17% Mineral oil/PVA
18,427.30269112402414,0.17% Mineral oil/PVA
10,3.2926618112653188,0.19% Mineral oil/PVA
15,-59.326119952722266,0.19% Mineral oil/PVA
18,-730.9005598616229,0.19% Mineral oil/PVA
