Storage Time (days),Particle Size (nm)
8,-1.8356041783215495,0.91% SWCNT/FKM
11,-1.8868318917608753,0.91% SWCNT/FKM
14,-1.9103506453803032,0.91% SWCNT/FKM
18,-1.9202569138364631,0.91% SWCNT/FKM
8,3.8740473688988515,0.52% SWCNT/FKM
11,2.270524516322028,0.52% SWCNT/FKM
14,1.7414413437835319,0.52% SWCNT/FKM
18,-1.1249883427408038,0.52% SWCNT/FKM
8,-1.9186214213353667,0.08% SWCNT/FKM
11,-0.5873401431321472,0.08% SWCNT/FKM
14,0.513585976320674,0.08% SWCNT/FKM
18,2.0920116148280696,0.08% SWCNT/FKM
8,4.876883406964179,0.59% SWCNT/FKM
11,4.8414586840507114,0.59% SWCNT/FKM
14,4.817830928351637,0.59% SWCNT/FKM
18,4.807876690681708,0.59% SWCNT/FKM
8,15.148083370859078,0.61% SWCNT/FKM
11,-3.457406630131482,0.61% SWCNT/FKM
14,55.18370525876925,0.61% SWCNT/FKM
18,151.67240254127614,0.61% SWCNT/FKM
