UV Exposure Time (h),Fatigue Strength (MPa)
4,8.689983904078966,
6,8.48688654694117,
9,8.419390695844179,
14,8.158627279779017,
4,10.18750971783596,
6,12.771985945158994,
9,18.32851667822447,
14,16.345738446352055,
4,1.7118320286162283,
6,1.6455785450879792,
9,1.5293486072558014,
14,1.4714649059614493,
4,8.97958151530681,
6,9.624436980984218,
9,11.855516998894483,
14,12.378701482237506,
4,-2.3506508845512206,
6,-1.7745177219810857,
9,-1.0811269776320285,
14,1.9351443823502432,
