wt%,Decomposition Temperature (°C)
3,5.50090857452925,Synthetic fluorine mica/Nylon 11
10,7.063019447468106,Synthetic fluorine mica/Nylon 11
14,9.106342864770285,Synthetic fluorine mica/Nylon 11
3,-4.200225995730264,Fe3O4/Nylon 11
10,17.8629157682986,Fe3O4/Nylon 11
14,-38.51122535622025,Fe3O4/Nylon 11
3,-1.910147015871245,Molybdenum disulfide/Nylon 11
10,10.752487697648458,Molybdenum disulfide/Nylon 11
14,81.50833567644759,Molybdenum disulfide/Nylon 11
3,-5.852301512070654,Talcum/Nylon 11
10,25.987829132072193,Talcum/Nylon 11
14,61.280222420444915,Talcum/Nylon 11
