Heat Treatment Temperature (°C),Poisson’s Ratio
6,5.835762347166327,9-Anthracenemethanol/Poly(BA-a)
9,5.692412960609691,9-Anthracenemethanol/Poly(BA-a)
13,5.6487146959059675,9-Anthracenemethanol/Poly(BA-a)
15,5.639272558202027,9-Anthracenemethanol/Poly(BA-a)
17,5.634639713663575,9-Anthracenemethanol/Poly(BA-a)
6,-1.602810199811068,polyaniline/Poly(BA-a)
9,-1.8649826693783766,polyaniline/Poly(BA-a)
13,-1.9585410423946965,polyaniline/Poly(BA-a)
15,-1.976222365102557,polyaniline/Poly(BA-a)
17,-2.0141725267094546,polyaniline/Poly(BA-a)
6,-1.3494098832911423,Graphene oxide/Poly(BA-a)
9,-1.4264205772481477,Graphene oxide/Poly(BA-a)
13,-1.4808402728436292,Graphene oxide/Poly(BA-a)
15,-1.4908097307577548,Graphene oxide/Poly(BA-a)
17,-1.495633011173601,Graphene oxide/Poly(BA-a)
6,-5.84731928888237,SiC powder/Poly(BA-a)
9,-5.909784976833678,SiC powder/Poly(BA-a)
13,-6.044144012137577,SiC powder/Poly(BA-a)
15,-6.105007523056172,SiC powder/Poly(BA-a)
17,-6.138951673213337,SiC powder/Poly(BA-a)
