Specific Heat Capacity (J/(g·K)),Intrinsic Viscosity (dl/g)
5,1.9714473403606199,P(VDF-TrFE-CTFE)
12,1.7462218063599186,P(VDF-TrFE-CTFE)
16,1.6235004740968904,P(VDF-TrFE-CTFE)
17,1.600352045682409,P(VDF-TrFE-CTFE)
19,1.5753018627926016,P(VDF-TrFE-CTFE)
5,7.11767112042306,Nylon 6T
12,6.336454267554526,Nylon 6T
16,298.6617979489636,Nylon 6T
17,481.6453121300667,Nylon 6T
19,823.7008403466025,Nylon 6T
5,9.387579863971638,Poly(ethylene-vinyl acetate)
12,30.01500379784364,Poly(ethylene-vinyl acetate)
16,151.13392420235402,Poly(ethylene-vinyl acetate)
17,253.9417310723153,Poly(ethylene-vinyl acetate)
19,162.2032081992738,Poly(ethylene-vinyl acetate)
5,-1.4400948089219887,PS
12,-1.681785043153151,PS
16,-1.7947834496077273,PS
17,-1.8204451337684708,PS
19,-1.8393945842510786,PS
