Strain,Hysteresis Loss (J/m³)
0.4097674866714218,5.748140854720629,0.45% exfoliated graphene
4.950064321336514,4.91898399747775,0.45% exfoliated graphene
9.43074144688508,4.769746611933759,0.45% exfoliated graphene
9.98985638448798,4.7613501353564045,0.45% exfoliated graphene
12.530057519098525,4.730649593775829,0.45% exfoliated graphene
12.711296755367165,4.7307793039801345,0.45% exfoliated graphene
0.4097674866714218,7.37582697048957,0.26% exfoliated graphene
4.950064321336514,7.775185134309844,0.26% exfoliated graphene
9.43074144688508,10.808120595989875,0.26% exfoliated graphene
9.98985638448798,9.342003734364447,0.26% exfoliated graphene
12.530057519098525,6.950480840532758,0.26% exfoliated graphene
12.711296755367165,9.732572098348538,0.26% exfoliated graphene
0.4097674866714218,3.681145589448305,0.73% exfoliated graphene
4.950064321336514,3.488666234234542,0.73% exfoliated graphene
9.43074144688508,3.286754026125679,0.73% exfoliated graphene
9.98985638448798,3.2758064575868637,0.73% exfoliated graphene
12.530057519098525,3.179874598030839,0.73% exfoliated graphene
12.711296755367165,3.1683584287931206,0.73% exfoliated graphene
0.4097674866714218,7.718532977567088,0.21% exfoliated graphene
4.950064321336514,10.918400867391425,0.21% exfoliated graphene
9.43074144688508,7.3681608738076605,0.21% exfoliated graphene
9.98985638448798,41.769845339467075,0.21% exfoliated graphene
12.530057519098525,41.58429065615318,0.21% exfoliated graphene
12.711296755367165,89.96064920129623,0.21% exfoliated graphene
