UV Exposure Time (h),Heat Of Fusion (J/g)
0,6.132311011494525,0.41% CCTO ceramics
1,6.240478620978459,0.41% CCTO ceramics
8,5.651828360227171,0.41% CCTO ceramics
16,5.37598321618459,0.41% CCTO ceramics
19,5.32615954634125,0.41% CCTO ceramics
0,2.2296086488177336,0.64% CCTO ceramics
1,1.9965162340117208,0.64% CCTO ceramics
8,1.2774908681270634,0.64% CCTO ceramics
16,1.2096285923731016,0.64% CCTO ceramics
19,1.2042062779975946,0.64% CCTO ceramics
0,7.339479316221065,0.38% CCTO ceramics
1,7.831045260263418,0.38% CCTO ceramics
8,14.199386669099495,0.38% CCTO ceramics
16,310.1499930289013,0.38% CCTO ceramics
19,-233.2308083345992,0.38% CCTO ceramics
0,1.6382416227010803,0.61% CCTO ceramics
1,2.5923929564021884,0.61% CCTO ceramics
8,2.9987195194859373,0.61% CCTO ceramics
16,0.2980039339003877,0.61% CCTO ceramics
19,6.60123642877491,0.61% CCTO ceramics
