Solvent Concentration (M),Remanence (A/m)
6.321209099559784,-0.23718039943494867,0.58% Triphenyl phosphate
15.638087133400633,-0.37784703154136,0.58% Triphenyl phosphate
15.921724015387888,-0.37888699906717066,0.58% Triphenyl phosphate
19.279339611871656,-0.3841200868234187,0.58% Triphenyl phosphate
6.321209099559784,1.0890578755634162,0.53% Triphenyl phosphate
15.638087133400633,0.9794847177638748,0.53% Triphenyl phosphate
15.921724015387888,0.9790637884012988,0.53% Triphenyl phosphate
19.279339611871656,0.9734970599978391,0.53% Triphenyl phosphate
6.321209099559784,-1.353361839502322,0.0% Triphenyl phosphate
15.638087133400633,-1.5039091023043876,0.0% Triphenyl phosphate
15.921724015387888,-1.5043361928088776,0.0% Triphenyl phosphate
19.279339611871656,-1.5102639065936139,0.0% Triphenyl phosphate
6.321209099559784,-2.459532976741745,0.47% Triphenyl phosphate
15.638087133400633,-2.6772152510968326,0.47% Triphenyl phosphate
15.921724015387888,-2.69893495042668,0.47% Triphenyl phosphate
19.279339611871656,-2.757891175104559,0.47% Triphenyl phosphate
