Drying Temperature (°C),Viscosity (Pa·s)
0.15825193950298466,6.751708138650784,TiNT/PUR
2.0217415997432386,7.653267197043901,TiNT/PUR
4.792978085180131,8.843500785261995,TiNT/PUR
6.343580920580624,14.085593796113086,TiNT/PUR
12.626667104251379,66.91796172279497,TiNT/PUR
5.205722781795186,-5.296951570261722,Organophilic clay/PUR
5.9128781185825785,-5.311975673092417,Organophilic clay/PUR
10.289204427460081,-5.439938243788584,Organophilic clay/PUR
14.860696050196726,-5.470586838469909,Organophilic clay/PUR
17.435098574236324,-5.477239580521006,Organophilic clay/PUR
0,-0.5058379651609545,Organophilic clay/PUR
6,2.9218700927975068,Organophilic clay/PUR
13,85.26634034086408,Organophilic clay/PUR
18,150.53152832542708,Organophilic clay/PUR
19,251.19866975048598,Organophilic clay/PUR
0.17786598631033934,1.0264080189466078,graphite/PUR
3.9180105528584286,0.872796784606701,graphite/PUR
8.478361364564469,0.7411182550611146,graphite/PUR
9.232192571097768,0.6625503780451479,graphite/PUR
11.531625330680896,0.6182492744610639,graphite/PUR
4.217869627472566,-0.24137690519965482,silica nanoparticles/PUR
6.24438100838995,0.9535168173485902,silica nanoparticles/PUR
6.332834924761723,1.0470746783547211,silica nanoparticles/PUR
13.905160023802786,1.8410028510562872,silica nanoparticles/PUR
15.366874140160995,1.957708853355716,silica nanoparticles/PUR
