Reaction Temperature (°C),Charge Transfer Resistance (Ω·m²)
0.01979834253384327,4.851737404673852,PMA
2.2641328537095107,4.824732181202901,PMA
2.3700858967312755,5.097211215399412,PMA
13.412862312206427,8.171747720936544,PMA
13.669089933502313,9.681525491681985,PMA
17.941859539654143,2.0638500865435523,PMA
19.449419760276665,11.162902978938298,PMA
0.01979834253384327,3.617973254797118,Polychlorotrifluoroethylene
2.2641328537095107,3.5642902464730715,Polychlorotrifluoroethylene
2.3700858967312755,3.676333667776653,Polychlorotrifluoroethylene
13.412862312206427,3.1220908077270466,Polychlorotrifluoroethylene
13.669089933502313,3.1105557370826595,Polychlorotrifluoroethylene
17.941859539654143,3.018859582941835,Polychlorotrifluoroethylene
19.449419760276665,2.9890087226789377,Polychlorotrifluoroethylene
