Synthesis Time (min),Conductivity (S/m)
7.964525195583072,15.365711117052335,S-SEBS
10.013566493424035,24.519542274470123,S-SEBS
19.064309698542054,-197.97112016643803,S-SEBS
19.88277209632098,803.9548585848095,S-SEBS
7.964525195583072,-2.5374352704537886,Poly(methyl methacrylate)
10.013566493424035,-2.6535031872055774,Poly(methyl methacrylate)
19.064309698542054,-5.540404411148865,Poly(methyl methacrylate)
19.88277209632098,0.5464316159343454,Poly(methyl methacrylate)
7.964525195583072,0.36429858172268803,PBI
10.013566493424035,0.2210119449945021,PBI
19.064309698542054,-0.040116480197290055,PBI
19.88277209632098,-0.04806751579688848,PBI
7.964525195583072,12.50214129185283,PVOH
10.013566493424035,25.741181988383154,PVOH
19.064309698542054,266.776724130003,PVOH
19.88277209632098,102.95168842086778,PVOH
7.964525195583072,7.618035980201833,PR
10.013566493424035,7.565901091409223,PR
19.064309698542054,7.313826459679401,PR
19.88277209632098,7.304068717880439,PR
