Calcination Time (h),Porosity (%)
1.089671870604274,3.2769709629231,0.87% Polyaniline
1.8896282846941426,3.372474259559844,0.87% Polyaniline
6.5769702492933035,2.935325652596819,0.87% Polyaniline
15.643862519626015,2.600178044504241,0.87% Polyaniline
17.743711831888515,2.548010779398096,0.87% Polyaniline
1.089671870604274,-6.164089492266975,0.25% Polyaniline
1.8896282846941426,-5.9574343144855675,0.25% Polyaniline
6.5769702492933035,2.1075198685329095,0.25% Polyaniline
15.643862519626015,151.26650420238516,0.25% Polyaniline
17.743711831888515,230.672220224287,0.25% Polyaniline
1.089671870604274,-0.9933937421961472,0.72% Polyaniline
1.8896282846941426,-0.6736969919821538,0.72% Polyaniline
6.5769702492933035,3.0905920670459954,0.72% Polyaniline
15.643862519626015,315.5139126033127,0.72% Polyaniline
17.743711831888515,247.0044955361944,0.72% Polyaniline
1.089671870604274,6.433239120303456,0.1% Polyaniline
1.8896282846941426,6.307308606061989,0.1% Polyaniline
6.5769702492933035,5.854421452652225,0.1% Polyaniline
15.643862519626015,5.7292422768504645,0.1% Polyaniline
17.743711831888515,5.724879301174518,0.1% Polyaniline
