Annealing Temperature (°C),Reduction Potential (V)
4,-4.00291195153542,cellulose nanocrystals/PVOH
9,0.8130954006375681,cellulose nanocrystals/PVOH
12,67.58825624250989,cellulose nanocrystals/PVOH
14,61.6541302668917,cellulose nanocrystals/PVOH
4,0.1397960210734716,CaCO3/PVOH
9,-0.15436301392411705,CaCO3/PVOH
12,-0.18613117583947847,CaCO3/PVOH
14,-0.19967462404405234,CaCO3/PVOH
4,-2.06672119093831,Silver/PVOH
9,14.435702603152393,Silver/PVOH
12,53.41606914465346,Silver/PVOH
14,-9.96340853275002,Silver/PVOH
