Stress (Pa),Poisson’s Ratio
0,1.6024626392465677,
5,6.26305109994134,
11,47.14538614514947,
12,29.360095147204923,
15,146.27045221842616,
1,7.67869176428555,
3,7.253012941043769,
10,6.913674239396741,
13,6.883944909746904,
17,6.869375150196829,
2,2.9309540473262023,
7,3.8829851328896527,
8,2.490590367975152,
10,5.420037662356969,
13,3.9630167593134455,
4.480301808921552,-5.738366470979089,
5.759343159156575,-5.895322767288691,
7.86381659701799,-5.975672562553564,
11.135305286972645,-6.031235051152777,
12.588480898176687,-6.043313008822349,
