Aspect Ratio,Intrinsic Viscosity (dl/g)
1,7.180200077149537,SWNTs/PETP
2,6.920925367496754,SWNTs/PETP
9,6.562153653746417,SWNTs/PETP
11,6.468583921021395,SWNTs/PETP
15,6.347657961463625,SWNTs/PETP
1,-6.186809726566119,Channel black/PETP
2,-6.710170702449239,Channel black/PETP
9,-7.162045419388349,Channel black/PETP
11,-7.192439327910805,Channel black/PETP
15,-7.2179270328879355,Channel black/PETP
1,5.090933591522305,silver hexafluoroantimonate/PETP
2,4.882169379101505,silver hexafluoroantimonate/PETP
9,20.922910038620273,silver hexafluoroantimonate/PETP
11,51.520521749930055,silver hexafluoroantimonate/PETP
15,216.56994957779256,silver hexafluoroantimonate/PETP
