EV (V),Ionic Conductivity (S/m)
1,0.8072101939326761,0.06% silver/Poly(glycidyl methacrylate)
6,-0.6801758468232966,0.06% silver/Poly(glycidyl methacrylate)
11,3.119142844985248,0.06% silver/Poly(glycidyl methacrylate)
12,1.1010547909372037,0.06% silver/Poly(glycidyl methacrylate)
14,0.20401952989481975,0.06% silver/Poly(glycidyl methacrylate)
1,2.7266215853196343,0.16% silver/Poly(glycidyl methacrylate)
6,2.3614335266438897,0.16% silver/Poly(glycidyl methacrylate)
11,2.203258899173636,0.16% silver/Poly(glycidyl methacrylate)
12,2.190270103620487,0.16% silver/Poly(glycidyl methacrylate)
14,2.181395354854607,0.16% silver/Poly(glycidyl methacrylate)
1,3.85549690867878,0.65% silver/Poly(glycidyl methacrylate)
6,3.4257658965686657,0.65% silver/Poly(glycidyl methacrylate)
11,3.3289382690188223,0.65% silver/Poly(glycidyl methacrylate)
12,3.3177526811937232,0.65% silver/Poly(glycidyl methacrylate)
14,3.305980946591555,0.65% silver/Poly(glycidyl methacrylate)
1,-2.000588926584337,0.48% silver/Poly(glycidyl methacrylate)
6,4.710354127489511,0.48% silver/Poly(glycidyl methacrylate)
11,22.069967894084158,0.48% silver/Poly(glycidyl methacrylate)
12,35.88898729128226,0.48% silver/Poly(glycidyl methacrylate)
14,-18.35529782529093,0.48% silver/Poly(glycidyl methacrylate)
