Pressure (Pa),Poisson’s Ratio
3,0.24470077287772796,PBA
8,-0.12521996858410034,PBA
15,-0.20220200296995577,PBA
18,-0.20915522948696866,PBA
3,-3.9720587804990464,P2VP
8,-4.146902237127606,P2VP
15,-4.2115232659881485,P2VP
18,-4.218134815857777,P2VP
3,-4.090905799335499,Bisphenol E cyanate ester resin
8,-4.314538641088118,Bisphenol E cyanate ester resin
15,-4.393736242857577,Bisphenol E cyanate ester resin
18,-4.400195463739709,Bisphenol E cyanate ester resin
3,-0.6366217007131527,PEA
8,-0.17257527456607447,PEA
15,5.5483095930866435,PEA
18,-6.710450118825205,PEA
3,-7.191725177486418,Nylon 11
8,-7.36891365340304,Nylon 11
15,-7.558876769996075,Nylon 11
18,-7.6128661257063825,Nylon 11
