Loading Concentration (%),Heat Of Fusion (J/g)
2.4258373895479513,5.998112670982319,PVC
5.428831600041755,6.676720002378684,PVC
14.359590015359212,0.01600588232551825,PVC
16.866279990938104,-4.974064362588468,PVC
19.442612371334274,13.716916946607355,PVC
2.4258373895479513,-2.9449834918805013,Polybenzimidazole
5.428831600041755,-1.7590965362225726,Polybenzimidazole
14.359590015359212,33.44839980978268,Polybenzimidazole
16.866279990938104,277.79521597695214,Polybenzimidazole
19.442612371334274,172.8715141759489,Polybenzimidazole
2.4258373895479513,3.114363894473583,SBR
5.428831600041755,7.027006206069033,SBR
14.359590015359212,73.66745720786882,SBR
16.866279990938104,212.50221558409473,SBR
19.442612371334274,428.5499348104272,SBR
2.4258373895479513,-1.7969760972969282,PMMA-PnBA-PMMA
5.428831600041755,0.9577318930104557,PMMA-PnBA-PMMA
14.359590015359212,60.47829600077808,PMMA-PnBA-PMMA
16.866279990938104,353.0158144378611,PMMA-PnBA-PMMA
19.442612371334274,1419.9920389287774,PMMA-PnBA-PMMA
2.4258373895479513,0.5540027742639926,DGEBD
5.428831600041755,0.02450121620468626,DGEBD
14.359590015359212,-0.30422596153131015,DGEBD
16.866279990938104,-0.32849578075783825,DGEBD
19.442612371334274,-0.3799312535978597,DGEBD
