Aspect Ratio,Magnetization (A/m)
1.0381307537579154,5.9239274212962085,
4.558699167876115,5.595790240973876,
14.232877275141195,5.088827514542182,
16.44410404550339,5.061829894433228,
7.399521441425023,-2.953586267070132,
11.345383038805037,-3.1759796057972838,
15.724661863638282,-3.268656630654129,
19.1110681748942,-3.3390395622644626,
4,-1.2367870834382697,
6,0.32514486422009004,
7,-0.7740618434037734,
13,-0.262191539513964,
1,8.355679592723803,
9,7.0972002579549365,
10,7.477956711600141,
16,15.432055556505947,
6.1850422188493965,-2.385379696552803,
13.383604145025807,-2.705916410488088,
13.75243941228799,-2.7228780590342807,
15.394682672582183,-2.753064751513331,
