Exposure Time (h),Surface Area (m²/g)
6.060557844441206,4.505043394248437,0.79% 9-anthracenemethanol/PUR
16.20649996152707,4.334428980186711,0.79% 9-anthracenemethanol/PUR
17.067728415496283,4.3325272176615925,0.79% 9-anthracenemethanol/PUR
6.060557844441206,-0.9358268948091841,0.23% 9-anthracenemethanol/PUR
16.20649996152707,-0.019528493946882275,0.23% 9-anthracenemethanol/PUR
17.067728415496283,3.7064809204082847,0.23% 9-anthracenemethanol/PUR
6.060557844441206,8.245110942742901,0.91% 9-anthracenemethanol/PUR
16.20649996152707,-32.736950100364965,0.91% 9-anthracenemethanol/PUR
17.067728415496283,65.26352377586281,0.91% 9-anthracenemethanol/PUR
6.060557844441206,7.43812543713638,0.41% 9-anthracenemethanol/PUR
16.20649996152707,7.1710902192276675,0.41% 9-anthracenemethanol/PUR
17.067728415496283,7.1522670939640065,0.41% 9-anthracenemethanol/PUR
6.060557844441206,-0.8254278320402245,0.7% 9-anthracenemethanol/PUR
16.20649996152707,-0.950506032877813,0.7% 9-anthracenemethanol/PUR
17.067728415496283,-0.9523187898305053,0.7% 9-anthracenemethanol/PUR
