Crosslinking Density (mol/m³),Tensile Modulus (GPa)
12.595373535365662,2.532762465832291,0.86% Synthetic fluorine mica/Poly(methyl methacrylate)
14.50689069406548,2.524426718135955,0.86% Synthetic fluorine mica/Poly(methyl methacrylate)
16.80661948033802,2.5166336735863384,0.86% Synthetic fluorine mica/Poly(methyl methacrylate)
18.500651712612708,2.514547535234642,0.86% Synthetic fluorine mica/Poly(methyl methacrylate)
12.595373535365662,32.067265270747484,0.94% Synthetic fluorine mica/Poly(methyl methacrylate)
14.50689069406548,69.47620049277054,0.94% Synthetic fluorine mica/Poly(methyl methacrylate)
16.80661948033802,238.9795199439474,0.94% Synthetic fluorine mica/Poly(methyl methacrylate)
18.500651712612708,245.61236824776444,0.94% Synthetic fluorine mica/Poly(methyl methacrylate)
12.595373535365662,8.807872543141979,0.51% Synthetic fluorine mica/Poly(methyl methacrylate)
14.50689069406548,12.794324683877898,0.51% Synthetic fluorine mica/Poly(methyl methacrylate)
16.80661948033802,20.825423610220476,0.51% Synthetic fluorine mica/Poly(methyl methacrylate)
18.500651712612708,15.587276383252028,0.51% Synthetic fluorine mica/Poly(methyl methacrylate)
12.595373535365662,7.7076496418185,0.6% Synthetic fluorine mica/Poly(methyl methacrylate)
14.50689069406548,7.669881724967039,0.6% Synthetic fluorine mica/Poly(methyl methacrylate)
16.80661948033802,7.609748134426893,0.6% Synthetic fluorine mica/Poly(methyl methacrylate)
18.500651712612708,7.58151146107602,0.6% Synthetic fluorine mica/Poly(methyl methacrylate)
12.595373535365662,7.773453434252663,0.07% Synthetic fluorine mica/Poly(methyl methacrylate)
14.50689069406548,7.761387804815643,0.07% Synthetic fluorine mica/Poly(methyl methacrylate)
16.80661948033802,7.756052156396991,0.07% Synthetic fluorine mica/Poly(methyl methacrylate)
18.500651712612708,7.753499375583132,0.07% Synthetic fluorine mica/Poly(methyl methacrylate)
