Stirring Speed (rpm),Reduction Potential (V)
5.029576834697607,0.6326033529632569,0.77% Mineral oil/Nylon 11
10.243678518857697,0.5057766081517729,0.77% Mineral oil/Nylon 11
10.679868579109538,0.5025699451108248,0.77% Mineral oil/Nylon 11
17.349001669290466,0.464257661786245,0.77% Mineral oil/Nylon 11
18.60868968735643,0.4624799894802629,0.77% Mineral oil/Nylon 11
19.709286728216323,0.46149154062138714,0.77% Mineral oil/Nylon 11
5.029576834697607,8.710018667457183,0.01% Mineral oil/Nylon 11
10.243678518857697,13.333327287279168,0.01% Mineral oil/Nylon 11
10.679868579109538,12.92697323212762,0.01% Mineral oil/Nylon 11
17.349001669290466,17.291274998161512,0.01% Mineral oil/Nylon 11
18.60868968735643,8.504442869672683,0.01% Mineral oil/Nylon 11
19.709286728216323,15.803778209282214,0.01% Mineral oil/Nylon 11
5.029576834697607,4.511287963969276,0.86% Mineral oil/Nylon 11
10.243678518857697,8.245109437672951,0.86% Mineral oil/Nylon 11
10.679868579109538,5.28704800130339,0.86% Mineral oil/Nylon 11
17.349001669290466,-1.7375916381917795,0.86% Mineral oil/Nylon 11
18.60868968735643,11.339244142603409,0.86% Mineral oil/Nylon 11
19.709286728216323,7.595466434773068,0.86% Mineral oil/Nylon 11
5.029576834697607,3.7398642070160406,0.64% Mineral oil/Nylon 11
10.243678518857697,3.44530411746166,0.64% Mineral oil/Nylon 11
10.679868579109538,3.4636182108673568,0.64% Mineral oil/Nylon 11
17.349001669290466,3.29269550046744,0.64% Mineral oil/Nylon 11
18.60868968735643,3.2656853012204,0.64% Mineral oil/Nylon 11
19.709286728216323,3.257644406200828,0.64% Mineral oil/Nylon 11
5.029576834697607,7.242630377354754,0.52% Mineral oil/Nylon 11
10.243678518857697,8.486548986413817,0.52% Mineral oil/Nylon 11
10.679868579109538,8.442650078606063,0.52% Mineral oil/Nylon 11
17.349001669290466,22.36956866882865,0.52% Mineral oil/Nylon 11
18.60868968735643,16.309508729886513,0.52% Mineral oil/Nylon 11
19.709286728216323,-0.6918764976886997,0.52% Mineral oil/Nylon 11
