Young’s Modulus (GPa),Coercivity (A/m)
8,7.061990366734726,graphite nanoplatelets/PVAL
9,9.115439491477538,graphite nanoplatelets/PVAL
14,9.474574954365995,graphite nanoplatelets/PVAL
15,10.987769159392565,graphite nanoplatelets/PVAL
18,18.79774171627323,graphite nanoplatelets/PVAL
8,-0.7878109820054393,nanosilica/PVAL
9,-0.8110822548229286,nanosilica/PVAL
14,-0.9487860166956643,nanosilica/PVAL
15,-1.0013894670758194,nanosilica/PVAL
18,-1.035268854729518,nanosilica/PVAL
8,-0.9508218104509152,single-walled CNT/PVAL
9,-0.9601362699784832,single-walled CNT/PVAL
14,-1.0086537801926128,single-walled CNT/PVAL
15,-1.0130657063169322,single-walled CNT/PVAL
18,-1.019890115040664,single-walled CNT/PVAL
