Frequency (Hz),Tan Delta
3.4196108649506796,-3.5999861370320274,0.91% Fullerene
4.959264671725472,-2.187173365327767,0.91% Fullerene
19.64773640764833,960.9450516044406,0.91% Fullerene
3.4196108649506796,1.4957156855433502,0.46% Fullerene
4.959264671725472,1.4377444702245596,0.46% Fullerene
19.64773640764833,1.1803288572597848,0.46% Fullerene
3.4196108649506796,8.555032739629988,0.26% Fullerene
4.959264671725472,8.355655131216821,0.26% Fullerene
19.64773640764833,7.9566794591947,0.26% Fullerene
3.4196108649506796,0.7106835366596786,0.46% Fullerene
4.959264671725472,0.9429116685765992,0.46% Fullerene
19.64773640764833,11.22088260804526,0.46% Fullerene
