Magnetic Field Strength (T),Remanence (A/m)
1.771622011773859,2.693740046219287,0.65% barium strontium titanate
6.408559360092085,2.9511773473286795,0.65% barium strontium titanate
8.72897495498842,5.964919294324279,0.65% barium strontium titanate
14.257289279696373,7.219489660456543,0.65% barium strontium titanate
14.341889256638837,8.074438235684383,0.65% barium strontium titanate
2.330529981072045,7.135711585906839,0.79% barium strontium titanate
7.900728264926704,13.957651274399934,0.79% barium strontium titanate
13.266699877934606,24.182305069647096,0.79% barium strontium titanate
15.961413524717567,148.8881477631182,0.79% barium strontium titanate
16.860275434282382,204.92195813442356,0.79% barium strontium titanate
7.192618340552848,7.096981734982446,0.32% barium strontium titanate
7.558087350730293,8.081005488208211,0.32% barium strontium titanate
9.129664415653826,6.344262837735689,0.32% barium strontium titanate
10.350533898963153,8.308638870644417,0.32% barium strontium titanate
15.331915221658416,8.433420721453539,0.32% barium strontium titanate
0.37637151242811084,-0.061664415563832176,0.18% barium strontium titanate
5.119420946695794,5.011339085678154,0.18% barium strontium titanate
7.508343329722738,15.274438287026806,0.18% barium strontium titanate
9.287797556056358,25.075908962804533,0.18% barium strontium titanate
16.595606139270124,143.89730170554392,0.18% barium strontium titanate
1,-5.751036573483507,0.04% barium strontium titanate
3,-4.533611153240553,0.04% barium strontium titanate
5,-1.8507045864616245,0.04% barium strontium titanate
13,93.01435456239949,0.04% barium strontium titanate
18,-80.01502461273058,0.04% barium strontium titanate
