Crystallization Temperature (°C),Charge Transfer Resistance (Ω·m²)
1.6684851651607135,8.520477937480155,0.41% Bentonite
3.4586395812286175,8.168171169967321,0.41% Bentonite
5.714532276453306,8.03133564263333,0.41% Bentonite
9.210404981024176,7.932055177737941,0.41% Bentonite
16.568935343274664,7.873981409186603,0.41% Bentonite
1.6684851651607135,8.874278206686403,0.38% Bentonite
3.4586395812286175,9.256144706239798,0.38% Bentonite
5.714532276453306,8.832239376804099,0.38% Bentonite
9.210404981024176,10.771397079497852,0.38% Bentonite
16.568935343274664,14.1187260419822,0.38% Bentonite
1.6684851651607135,-3.885904842585197,0.18% Bentonite
3.4586395812286175,-2.95490070842174,0.18% Bentonite
5.714532276453306,0.37110795208539393,0.18% Bentonite
9.210404981024176,22.041200520228678,0.18% Bentonite
16.568935343274664,279.736293226528,0.18% Bentonite
1.6684851651607135,5.933830088709044,0.3% Bentonite
3.4586395812286175,5.884094909556083,0.3% Bentonite
5.714532276453306,6.371979468215764,0.3% Bentonite
9.210404981024176,7.21086604788837,0.3% Bentonite
16.568935343274664,8.827069168889995,0.3% Bentonite
1.6684851651607135,7.579747451281447,0.21% Bentonite
3.4586395812286175,7.506568722447487,0.21% Bentonite
5.714532276453306,7.385656884989267,0.21% Bentonite
9.210404981024176,7.116765613609136,0.21% Bentonite
16.568935343274664,6.900370278327864,0.21% Bentonite
