Aging Temperature (°C),Bulk Modulus (GPa)
2,4.940096014329076,0.6% Aluminium oxide
5,4.9394826754889865,0.6% Aluminium oxide
19,4.3849076682462345,0.6% Aluminium oxide
2,8.562334510463947,0.36% Aluminium oxide
5,13.100220711142144,0.36% Aluminium oxide
19,270.33781852818566,0.36% Aluminium oxide
2,6.748578326559392,0.9% Aluminium oxide
5,6.457091642811451,0.9% Aluminium oxide
19,6.270019033370998,0.9% Aluminium oxide
2,-3.151287223311016,0.38% Aluminium oxide
5,0.9378259154174842,0.38% Aluminium oxide
19,-336.6469996101339,0.38% Aluminium oxide
2,-6.169438790955602,0.21% Aluminium oxide
5,-6.504030832355655,0.21% Aluminium oxide
19,-6.961983002940684,0.21% Aluminium oxide
