Young’s Modulus (GPa),Melting Temperature (°C)
0.819403521192299,-5.802682108002232,Nylon 6(3)T
4.541716108434988,-5.425434120499026,Nylon 6(3)T
5.054865773480717,-5.487815963764864,Nylon 6(3)T
6.611028921369226,-4.916937639369866,Nylon 6(3)T
7.813490497042133,-2.818536324309709,Nylon 6(3)T
18.051386036599567,-15.185387110221363,Nylon 6(3)T
18.830714192747212,-15.928382865808373,Nylon 6(3)T
0.819403521192299,-2.178846816793403,Poly(acrylonitrile)
4.541716108434988,-2.8375636178551167,Poly(acrylonitrile)
5.054865773480717,-2.865190530761751,Poly(acrylonitrile)
6.611028921369226,-2.9579627920263585,Poly(acrylonitrile)
7.813490497042133,-2.988264414673537,Poly(acrylonitrile)
18.051386036599567,-3.0969716180319113,Poly(acrylonitrile)
18.830714192747212,-3.098136364417781,Poly(acrylonitrile)
0.819403521192299,-0.18129021427618564,Poly(methyl methacrylate)
4.541716108434988,-0.38614998058435523,Poly(methyl methacrylate)
5.054865773480717,-0.5732659679335266,Poly(methyl methacrylate)
6.611028921369226,-0.558795538885691,Poly(methyl methacrylate)
7.813490497042133,-0.6010999201530539,Poly(methyl methacrylate)
18.051386036599567,-0.8963632818501606,Poly(methyl methacrylate)
18.830714192747212,-0.9166933994289647,Poly(methyl methacrylate)
